ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-02-01T00:17:00.000000000Z,33,1,13941,17700.000000000,17700.000000000,17700.000000000,17700.000000000,1,MNQU4
2024-02-01T01:31:00.000000000Z,33,1,13941,17706.000000000,17706.000000000,17706.000000000,17706.000000000,1,MNQU4
2024-02-01T01:34:00.000000000Z,33,1,13941,17705.000000000,17705.000000000,17705.000000000,17705.000000000,1,MNQU4
2024-02-01T02:11:00.000000000Z,33,1,13941,17722.750000000,17722.750000000,17722.750000000,17722.750000000,2,MNQU4
2024-02-01T03:37:00.000000000Z,33,1,13941,17705.000000000,17705.000000000,17705.000000000,17705.000000000,1,MNQU4
2024-02-01T03:58:00.000000000Z,33,1,13941,17732.250000000,17732.250000000,17732.250000000,17732.250000000,1,MNQU4
2024-02-01T05:54:00.000000000Z,33,1,13941,17702.000000000,17702.000000000,17702.000000000,17702.000000000,1,MNQU4
2024-02-01T06:43:00.000000000Z,33,1,13941,17716.500000000,17716.500000000,17716.500000000,17716.500000000,1,MNQU4
2024-02-01T06:55:00.000000000Z,33,1,13941,17688.000000000,17688.000000000,17688.000000000,17688.000000000,1,MNQU4
2024-02-01T08:02:00.000000000Z,33,1,13941,17737.000000000,17737.000000000,17737.000000000,17737.000000000,1,MNQU4
2024-02-01T08:40:00.000000000Z,33,1,13941,17749.000000000,17749.000000000,17749.000000000,17749.000000000,1,MNQU4
2024-02-01T11:03:00.000000000Z,33,1,13941,17766.000000000,17766.000000000,17766.000000000,17766.000000000,1,MNQU4
2024-02-01T11:11:00.000000000Z,33,1,13941,17755.500000000,17755.500000000,17755.500000000,17755.500000000,1,MNQU4
2024-02-01T13:56:00.000000000Z,33,1,13941,17754.500000000,17754.500000000,17754.500000000,17754.500000000,1,MNQU4
2024-02-01T14:04:00.000000000Z,33,1,13941,17745.500000000,17745.500000000,17745.500000000,17745.500000000,1,MNQU4
2024-02-01T14:56:00.000000000Z,33,1,13941,17716.250000000,17716.250000000,17716.250000000,17716.250000000,1,MNQU4
2024-02-01T15:00:00.000000000Z,33,1,13941,17700.000000000,17700.000000000,17700.000000000,17700.000000000,1,MNQU4
2024-02-01T15:28:00.000000000Z,33,1,13941,17765.000000000,17776.000000000,17765.000000000,17776.000000000,3,MNQU4
2024-02-01T17:06:00.000000000Z,33,1,13941,17789.000000000,17789.000000000,17789.000000000,17789.000000000,1,MNQU4
2024-02-01T17:11:00.000000000Z,33,1,13941,17800.000000000,17805.000000000,17800.000000000,17805.000000000,2,MNQU4
2024-02-01T17:52:00.000000000Z,33,1,13941,17805.000000000,17805.000000000,17805.000000000,17805.000000000,1,MNQU4
2024-02-01T17:55:00.000000000Z,33,1,13941,17820.000000000,17820.000000000,17820.000000000,17820.000000000,1,MNQU4
2024-02-01T20:04:00.000000000Z,33,1,13941,17849.750000000,17849.750000000,17849.750000000,17849.750000000,1,MNQU4
2024-02-01T20:22:00.000000000Z,33,1,13941,17839.750000000,17839.750000000,17839.750000000,17839.750000000,1,MNQU4
2024-02-01T20:30:00.000000000Z,33,1,13941,17850.000000000,17850.000000000,17850.000000000,17850.000000000,1,MNQU4
2024-02-01T20:33:00.000000000Z,33,1,13941,17858.000000000,17858.000000000,17858.000000000,17858.000000000,2,MNQU4
2024-02-01T20:44:00.000000000Z,33,1,13941,17857.000000000,17857.000000000,17855.000000000,17855.000000000,3,MNQU4
2024-02-01T20:48:00.000000000Z,33,1,13941,17843.000000000,17843.000000000,17843.000000000,17843.000000000,1,MNQU4
2024-02-01T20:57:00.000000000Z,33,1,13941,17839.000000000,17840.000000000,17839.000000000,17840.000000000,2,MNQU4
2024-02-01T21:00:00.000000000Z,33,1,13941,17835.000000000,17835.000000000,17835.000000000,17835.000000000,1,MNQU4
2024-02-01T21:05:00.000000000Z,33,1,13941,17913.250000000,17913.250000000,17913.250000000,17913.250000000,1,MNQU4
2024-02-01T21:17:00.000000000Z,33,1,13941,18000.000000000,18000.000000000,18000.000000000,18000.000000000,1,MNQU4
2024-02-01T21:48:00.000000000Z,33,1,13941,18014.500000000,18014.500000000,18014.500000000,18014.500000000,2,MNQU4
2024-02-01T21:49:00.000000000Z,33,1,13941,18026.750000000,18032.000000000,18026.750000000,18032.000000000,2,MNQU4
2024-02-01T23:52:00.000000000Z,33,1,13941,18019.000000000,18019.000000000,18019.000000000,18019.000000000,1,MNQU4
